time,speed,target_speed,throttle,brake,steer,energy,curvature
116,3.1158786,2.9992589950561523,0.17288830876350403,0.0,-0.15507676841234083,0.029890367307104704,0.0633404298438537
117,3.1210778,2.9992589950561523,0.16525086760520935,0.0,-0.13609928490900736,0.02730784924427443,0.0633404298438537
118,3.118149,2.9992589950561523,0.17571309208869934,0.0,-0.11890606434861596,0.030875090731371735,0.0633404298438537
119,3.1187034,2.9992589950561523,0.17107850313186646,0.0,-0.10420246022423045,0.02926785423384004,0.0633404298438537
120,3.1145127,2.9992589950561523,0.17943793535232544,0.0,-0.09083047373588995,0.032197972643505324,0.0633404298438537
121,3.1141295,2.9992589950561523,0.17543917894363403,0.0,-0.07953352760696808,0.030778905508416443,0.0633404298438537
122,3.1107366,2.9992589950561523,0.18128451704978943,0.0,-0.0691821779946977,0.032864076121975394,0.0633404298438537
123,3.1105797,2.9992589950561523,0.17764872312545776,0.0,-0.06055452750550782,0.03155906882810555,0.0633404298438537
124,3.1082153,2.9992589950561523,0.18167585134506226,0.0,-0.30484560832303115,0.03300611496195316,0.0633406382181373
125,3.0961695,2.9992589950561523,0.2029186189174652,0.0,-0.29747492442202056,0.04117596590337147,0.0633406382181373
126,3.066669,2.9992589950561523,0.2495366632938385,0.0,-0.2756206852992563,0.06226854632782253,0.0633406382181373
127,3.0748606,2.9992589950561523,0.20327499508857727,0.0,-0.24643942306203237,0.04132072362826111,0.0633406382181373
128,3.0873103,2.9992589950561523,0.18612682819366455,0.0,-0.2175553055036482,0.03464319617343392,0.0633406382181373
129,3.1044433,2.9992589950561523,0.16378465294837952,0.0,-0.1917021319129173,0.026825412541421123,0.0633406382181373
130,3.1087198,2.9992589950561523,0.17181730270385742,0.0,-0.16815273938056163,0.02952118550842897,0.0633406382181373
131,3.1147556,2.9992589950561523,0.16344472765922546,0.0,-0.14768222074873544,0.02671417899959838,0.0633406382181373
132,3.1118715,2.9992589950561523,0.1746857762336731,0.0,-0.12914878962663057,0.030515120418360908,0.0633406382181373
133,3.112614,2.9992589950561523,0.16974997520446777,0.0,-0.113246595176042,0.028815054081917424,0.0633406382181373
134,3.108151,2.9992589950561523,0.17887386679649353,0.0,-0.09880861313347435,0.03199586022272971,0.0633406382181373
135,3.1077669,2.9992589950561523,0.174636572599411,0.0,-0.08655790500528043,0.030497932489269353,0.0633406382181373
136,3.1041095,2.9992589950561523,0.18104287981987,0.0,-0.07536244436643819,0.03277652433347189,0.0633406382181373
